1.63	1.39	-75.25648779389687	-75.25648779389687
5.2	4.78	-67.38402616308146	-67.38402616308146
11.57	10.26	-52.3134293646823	-52.3134293646823
17.03	15.09	-41.407655527763865	-41.407655527763865
20.58	18.36	-36.71386603301651	-36.71386603301651
23.53	21.58	-31.026451425712846	-31.026451425712846
25.8	24.22	-26.68428714357178	-26.68428714357178
25.85	23.82	-28.718659879940027	-28.718659879940027
26.73	24.84	-25.496071135567785	-25.496071135567785
27.55	25.95	-24.7282346673337	-24.7282346673337
28.0	26.24	-24.795762931465735	-24.795762931465735
27.18	24.71	-27.58272206103053	-27.58272206103053
29.42	27.57	-22.529704702351182	-22.529704702351182
29.48	27.79	-22.78151975987996	-22.78151975987996
29.72	28.12	-21.436727413706862	-21.436727413706862
29.64	27.95	-22.650653426713365	-22.650653426713365
30.15	28.66	-21.293772886443172	-21.293772886443172
30.36	29.2	-20.155670785392683	-20.155670785392683
30.17	28.85	-21.681885292646278	-21.681885292646278
30.59	30.04	-19.783356378189094	-19.783356378189094
31.08	30.19	-18.96333811905951	-18.96333811905951
30.71	29.65	-20.35924267133566	-20.35924267133566
30.89	30.01	-19.311583341670854	-19.311583341670854
31.26	30.45	-18.99887833916957	-18.99887833916957
31.16	30.09	-20.139444222111038	-20.139444222111038
31.45	30.62	-19.30393891945974	-19.30393891945974
31.11	30.17	-19.155955027513755	-19.155955027513755
31.71	30.98	-19.497074737368663	-19.497074737368663
31.34	30.5	-18.98887743871936	-18.98887743871936
31.7	31.09	-18.896173286643318	-18.896173286643318
31.49	30.79	-19.006680990495234	-19.006680990495234
31.68	31.24	-18.020677638819414	-18.020677638819414
31.77	31.12	-18.930851575787862	-18.930851575787862
32.0	31.31	-18.912536618309172	-18.912536618309172
31.75	31.73	-17.949093596798395	-17.949093596798395
31.95	31.78	-18.176196398199096	-18.176196398199096
31.95	31.83	-18.285824162081024	-18.285824162081024
31.87	31.72	-17.99569959979992	-17.99569959979992
31.86	31.36	-18.05832781390699	-18.05832781390699
31.78	31.19	-18.913288744372185	-18.913288744372185
32.46	31.99	-17.59386648324164	-17.59386648324164
32.06	31.67	-18.238183541770866	-18.238183541770866
32.18	31.86	-18.136310255127583	-18.136310255127583
31.98	31.81	-17.719279489744867	-17.719279489744867
32.26	31.79	-18.178484042020983	-18.178484042020983
32.28	32.02	-18.14635462731366	-18.14635462731366
32.22	31.71	-17.69123936968486	-17.69123936968486
32.43	31.81	-18.303664932466244	-18.303664932466244
32.35	32.01	-17.541983641820902	-17.541983641820902
32.34	31.93	-17.178222761380685	-17.178222761380685
32.17	32.13	-17.526013356678355	-17.526013356678355
32.36	32.11	-17.004329914957474	-17.004329914957474
32.42	31.72	-17.90458344172085	-17.90458344172085
32.38	31.97	-17.393324262131053	-17.393324262131053
32.26	31.88	-17.630606453226623	-17.630606453226623
32.8	32.47	-17.64493671835916	-17.64493671835916
1.02	0.91	-78.40519349674835	-78.40519349674835
5.93	5.49	-64.60559474737366	-64.60559474737366
13.73	12.5	-48.98777338669328	-48.98777338669328
19.96	18.49	-37.493313056528265	-37.493313056528265
23.71	22.32	-30.119878589294633	-30.119878589294633
24.82	23.67	-30.095999199599813	-30.095999199599813
25.56	23.28	-28.322912856428214	-28.322912856428214
26.91	25.81	-26.689342921460717	-26.689342921460717
26.91	25.18	-27.344258179089564	-27.344258179089564
28.08	26.62	-26.30039724862432	-26.30039724862432
28.41	27.13	-25.378389694847385	-25.378389694847385
28.98	27.74	-23.159859729864927	-23.159859729864927
29.68	29.05	-22.486751425712875	-22.486751425712875
30.11	29.31	-22.19656448224114	-22.19656448224114
29.79	28.5	-23.6598395197599	-23.6598395197599
29.82	28.98	-24.126324862431193	-24.126324862431193
30.29	29.32	-23.300048974487236	-23.300048974487236
30.83	30.68	-21.202926463231623	-21.202926463231623
30.92	30.54	-21.283417108554247	-21.283417108554247
31.04	30.28	-22.70989864932467	-22.70989864932467
31.31	30.81	-21.14198944472236	-21.14198944472236
30.96	30.59	-21.54240165082542	-21.54240165082542
30.88	30.56	-22.008475637818922	-22.008475637818922
31.04	31.21	-21.644501550775377	-21.644501550775377
31.43	31.55	-21.000502051025517	-21.000502051025517
31.64	31.8	-20.25528664332166	-20.25528664332166
31.53	31.81	-19.83126613306654	-19.83126613306654
31.74	31.95	-20.506868684342148	-20.506868684342148
31.62	31.85	-19.513422561280635	-19.513422561280635
32.0	32.23	-19.650787343671844	-19.650787343671844
31.33	31.71	-20.666567983992	-20.666567983992
31.14	31.79	-20.59178904452226	-20.59178904452226
31.91	31.98	-19.741795297648814	-19.741795297648814
32.12	32.66	-18.76981265632817	-18.76981265632817
31.93	32.48	-19.543148074037017	-19.543148074037017
31.98	32.48	-18.943426363181597	-18.943426363181597
32.1	32.21	-19.588787893946964	-19.588787893946964
32.19	32.59	-19.26886553276636	-19.26886553276636
31.82	32.03	-19.906109754877438	-19.906109754877438
32.29	32.51	-18.356370285142603	-18.356370285142603
32.46	33.01	-18.407108904452237	-18.407108904452237
32.13	32.83	-18.59825067533767	-18.59825067533767
32.22	32.59	-18.56334002000997	-18.56334002000997
31.85	32.75	-18.896708204102044	-18.896708204102044
31.89	32.69	-19.74392401200601	-19.74392401200601
32.3	32.67	-18.936655377688854	-18.936655377688854
31.93	32.83	-19.004804952476245	-19.004804952476245
31.93	32.71	-18.7031532766383	-18.7031532766383
32.25	32.44	-18.667064582291154	-18.667064582291154
32.07	32.98	-17.933624562281143	-17.933624562281143
31.85	32.81	-19.057739569784886	-19.057739569784886
31.86	32.92	-18.591279789894934	-18.591279789894934
32.05	32.77	-18.853965932966496	-18.853965932966496
31.97	32.94	-18.587180940470226	-18.587180940470226
32.11	32.82	-19.172967633816906	-19.172967633816906
32.1	32.84	-18.034951925963004	-18.034951925963004
